layer,example_id,baseline_mc_entropy,baseline_conf_signal,baseline_mc_logit_gap,baseline_mc_max_prob,scoring_mode_mc,scoring_mode_conf,intervention_type,direction,alpha,post_mc_entropy,post_conf_signal,post_mc_logit_gap,post_mc_max_prob,delta_mc_entropy,delta_conf_signal,delta_mc_logit_gap,delta_mc_max_prob,fit_r2_mc_entropy,fit_r2_conf,fit_r2_mc_gap,fit_r2_mc_max_prob
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,ablation,entropy,ablate,0.000730738858692348,0.7466525912284852,10.015625,0.9999356269836426,2.555898390710354e-06,-1.4536082744598389e-05,-0.00390625,-3.5762786865234375e-07,,,,
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,ablation,confidence,ablate,0.0007332353852689266,0.7471911519765854,10.01171875,0.999935507774353,5.052424967288971e-06,0.0005240246653556158,-0.0078125,-4.76837158203125e-07,,,,
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,ablation,random,ablate,0.0007258503173943609,0.7465673126280308,10.0234375,0.9999361634254456,-2.3326429072767496e-06,-9.981468319897324e-05,0.00390625,1.7881393432617188e-07,,,,
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,ablation,entropy,ablate,0.7134117484092712,0.7147192567586897,0.453125,0.6064391136169434,3.153085708618164e-05,-0.0003592759370804055,0.0,-3.2782554626464844e-06,,,,
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,ablation,confidence,ablate,0.7140960693359375,0.7152554824948312,0.4453125,0.6046144366264343,0.0007158517837524414,0.00017694979906102137,-0.0078125,-0.0018279552459716797,,,,
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,ablation,random,ablate,0.713682234287262,0.7152110420167446,0.44921875,0.6055363118648529,0.0003020167350769043,0.0001325093209744166,-0.00390625,-0.0009060800075531006,,,,
0,2,1.1332931518554688,0.41873779296875,0.0078125,0.3724466562271118,single_token,single_token,ablation,entropy,ablate,1.132988452911377,0.41736373901367185,0.0078125,0.37248095870018005,-0.0003046989440917969,-0.0013740539550781694,0.0,3.4302473068237305e-05,,,,
0,2,1.1332931518554688,0.41873779296875,0.0078125,0.3724466562271118,single_token,single_token,ablation,confidence,ablate,1.1334459781646729,0.41963653564453124,0.0078125,0.37242943048477173,0.00015282630920410156,0.0008987426757812167,0.0,-1.722574234008789e-05,,,,
0,2,1.1332931518554688,0.41873779296875,0.0078125,0.3724466562271118,single_token,single_token,ablation,random,ablate,1.1333355903625488,0.41899261474609373,0.01171875,0.37300100922584534,4.2438507080078125e-05,0.0002548217773437056,0.00390625,0.0005543529987335205,,,,
0,3,0.0024066842161118984,0.7992957860231399,9.15625,0.999767005443573,single_token,single_token,ablation,entropy,ablate,0.00241523003205657,0.7997428774833679,9.15234375,0.9997660517692566,8.545815944671631e-06,0.0004470914602280329,-0.00390625,-9.5367431640625e-07,,,,
0,3,0.0024066842161118984,0.7992957860231399,9.15625,0.999767005443573,single_token,single_token,ablation,confidence,ablate,0.0023981647100299597,0.80030607432127,9.16015625,0.9997679591178894,-8.519506081938744e-06,0.001010288298130102,0.00390625,9.5367431640625e-07,,,,
0,3,0.0024066842161118984,0.7992957860231399,9.15625,0.999767005443573,single_token,single_token,ablation,random,ablate,0.00240482937078923,0.7992326408624649,9.158203125,0.9997671842575073,-1.8548453226685524e-06,-6.314516067496001e-05,0.001953125,1.7881393432617188e-07,,,,
0,4,0.1234254240989685,0.6573683381080627,4.1640625,0.9780755639076233,single_token,single_token,ablation,entropy,ablate,0.12432019412517548,0.6561137795448303,4.15625,0.9778874516487122,0.0008947700262069702,-0.0012545585632324219,-0.0078125,-0.0001881122589111328,,,,
0,4,0.1234254240989685,0.6573683381080627,4.1640625,0.9780755639076233,single_token,single_token,ablation,confidence,ablate,0.12321268022060394,0.657524585723877,4.16796875,0.9781274795532227,-0.000212743878364563,0.0001562476158142312,0.00390625,5.1915645599365234e-05,,,,
0,4,0.1234254240989685,0.6573683381080627,4.1640625,0.9780755639076233,single_token,single_token,ablation,random,ablate,0.12368340790271759,0.6580451935529709,4.16015625,0.9780151546001434,0.00025798380374908447,0.0006768554449081421,-0.00390625,-6.04093074798584e-05,,,,
0,5,0.0003585945232771337,0.7420093163847923,11.455078125,0.9999715089797974,single_token,single_token,ablation,entropy,ablate,0.0003640850482042879,0.7420897364616394,11.435546875,0.9999709129333496,5.490524927154183e-06,8.042007684716523e-05,-0.01953125,-5.960464477539062e-07,,,,
0,5,0.0003585945232771337,0.7420093163847923,11.455078125,0.9999715089797974,single_token,single_token,ablation,confidence,ablate,0.0003608606930356473,0.7424831524491309,11.447265625,0.9999711513519287,2.26616975851357e-06,0.00047383606433859526,-0.0078125,-3.5762786865234375e-07,,,,
0,5,0.0003585945232771337,0.7420093163847923,11.455078125,0.9999715089797974,single_token,single_token,ablation,random,ablate,0.0003581797645892948,0.7419164471328258,11.4521484375,0.9999714493751526,-4.14758687838912e-07,-9.286925196649864e-05,-0.0029296875,-5.960464477539063e-08,,,,
0,6,0.8189195990562439,0.7155675172805785,1.0,0.6758682131767273,single_token,single_token,ablation,entropy,ablate,0.8190100193023682,0.7152468681335449,0.9921875,0.674932062625885,9.042024612426758e-05,-0.0003206491470336692,-0.0078125,-0.0009361505508422852,,,,
