layer,example_id,baseline_mc_entropy,baseline_conf_signal,baseline_mc_logit_gap,baseline_mc_max_prob,scoring_mode_mc,scoring_mode_conf,intervention_type,direction,alpha,post_mc_entropy,post_conf_signal,post_mc_logit_gap,post_mc_max_prob,delta_mc_entropy,delta_conf_signal,delta_mc_logit_gap,delta_mc_max_prob,fit_r2_mc_entropy,fit_r2_conf,fit_r2_mc_gap,fit_r2_mc_max_prob
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,entropy,-3.0,0.0004355362616479397,0.7311857536435127,10.7265625,0.999963641166687,-0.00029264669865369797,-0.015481373667717069,0.70703125,2.765655517578125e-05,0.4973767426505232,0.3677492558709094,0.4183039128182252,0.5483057134893365
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,entropy,-2.0,0.0004192147171124816,0.7530017644166946,10.73828125,0.9999650716781616,-0.00030896824318915606,0.006334637105464891,0.71875,2.9087066650390625e-05,0.4973767426505232,0.3677492558709094,0.4183039128182252,0.5483057134893365
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,entropy,2.0,0.0007725501782260835,0.7308049157261848,9.7890625,0.9999306201934814,4.436721792444587e-05,-0.015862211585044972,-0.23046875,-5.364418029785156e-06,0.4973767426505232,0.3677492558709094,0.4183039128182252,0.5483057134893365
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,entropy,3.0,0.049587495625019073,0.7663037419319152,5.609375,0.9928097724914551,0.048859312664717436,0.019636614620685444,-4.41015625,-0.007126212120056152,0.4973767426505232,0.3677492558709094,0.4183039128182252,0.5483057134893365
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,confidence,-3.0,0.0005931809428147972,0.7270848035812378,10.16015625,0.9999485015869141,-0.0001350020174868405,-0.019582323729991913,0.140625,1.2516975402832031e-05,0.36572590759778156,0.7608069479001743,0.00033148087311958324,0.6065906878133634
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,confidence,-2.0,0.0006030584336258471,0.7390078485012054,10.1953125,0.9999476671218872,-0.00012512452667579055,-0.0076592788100243725,0.17578125,1.1682510375976562e-05,0.36572590759778156,0.7608069479001743,0.00033148087311958324,0.6065906878133634
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,confidence,2.0,0.0003711703757289797,0.7652241423726082,10.91796875,0.9999693632125854,-0.00035701258457265794,0.018557015061378412,0.8984375,3.337860107421875e-05,0.36572590759778156,0.7608069479001743,0.00033148087311958324,0.6065906878133634
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,confidence,3.0,0.00026660296134650707,0.7874145284295082,11.4609375,0.99997878074646,-0.0004615799989551306,0.04074740111827846,1.44140625,4.279613494873047e-05,0.36572590759778156,0.7608069479001743,0.00033148087311958324,0.6065906878133634
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,random,-3.0,0.00043605852988548577,0.7507529847323894,10.7265625,0.999963104724884,-0.0002921244304161519,0.004085857421159633,0.70703125,2.7120113372802734e-05,0.6182628417932831,0.9849684028431877,0.08009823268331033,0.7497468038874735
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,random,-2.0,0.0003283447149442509,0.7558760903775692,10.970703125,0.9999732375144958,-0.00039983824535738677,0.009208963066339448,0.951171875,3.725290298461914e-05,0.6182628417932831,0.9849684028431877,0.08009823268331033,0.7497468038874735
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,random,2.0,0.0006071010429877788,0.7449281126260757,10.3046875,0.9999476671218872,-0.00012108191731385887,-0.0017390146851540278,0.28515625,1.1682510375976562e-05,0.6182628417932831,0.9849684028431877,0.08009823268331033,0.7497468038874735
0,0,0.0007281829603016376,0.7466671273112298,10.01953125,0.9999359846115112,single_token,single_token,steering,random,3.0,0.0003915924171451479,0.7351082816720009,11.0859375,0.9999669790267944,-0.00033659054315648973,-0.01155884563922882,1.06640625,3.0994415283203125e-05,0.6182628417932831,0.9849684028431877,0.08009823268331033,0.7497468038874735
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,steering,entropy,-3.0,0.7451331615447998,0.7094201937317848,0.1875,0.5407980680465698,0.031752943992614746,-0.0056583389639853765,-0.265625,-0.06564432382583618,0.4973767426505232,0.3677492558709094,0.4183039128182252,0.5483057134893365
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,steering,entropy,-2.0,0.721868097782135,0.7192479789257049,0.1875,0.5436561703681946,0.008487880229949951,0.004169446229934759,-0.265625,-0.06278622150421143,0.4973767426505232,0.3677492558709094,0.4183039128182252,0.5483057134893365
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,steering,entropy,2.0,0.726341962814331,0.6850821405649185,0.078125,0.5164669752120972,0.012961745262145996,-0.0299963921308517,-0.375,-0.08997541666030884,0.4973767426505232,0.3677492558709094,0.4183039128182252,0.5483057134893365
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,steering,entropy,3.0,0.9872623682022095,0.682260024547577,0.234375,0.5017017722129822,0.2738821506500244,-0.032818508148193204,-0.21875,-0.10474061965942383,0.4973767426505232,0.3677492558709094,0.4183039128182252,0.5483057134893365
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,steering,confidence,-3.0,0.726349413394928,0.7064774692058563,0.1484375,0.5336716175079346,0.01296919584274292,-0.008601063489913852,-0.3046875,-0.07277077436447144,0.36572590759778156,0.7608069479001743,0.00033148087311958324,0.6065906878133634
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,steering,confidence,-2.0,0.7218644618988037,0.7008161514997482,0.2890625,0.567832887172699,0.008484244346618652,-0.014262381196021967,-0.1640625,-0.03860950469970703,0.36572590759778156,0.7608069479001743,0.00033148087311958324,0.6065906878133634
0,1,0.7133802175521851,0.7150785326957702,0.453125,0.606442391872406,single_token,single_token,steering,confidence,2.0,0.7299445867538452,0.7076932594180106,0.125,0.5275824069976807,0.016564369201660156,-0.007385273277759508,-0.328125,-0.07885998487472534,0.36572590759778156,0.7608069479001743,0.00033148087311958324,0.6065906878133634
