layer,example_id,baseline_mc_entropy,baseline_conf_signal,intervention_type,direction,alpha,post_mc_entropy,post_conf_signal,delta_mc_entropy,delta_conf_signal
0,0,7.374650886049494e-05,0.7166760548949241,ablation,entropy,ablate,7.486055255867541e-05,0.7171945750713347,1.1140436981804669e-06,0.0005185201764105196
0,0,7.374650886049494e-05,0.7166760548949241,ablation,confidence,ablate,7.326095510507002e-05,0.7166838973760605,-4.855537554249167e-07,7.842481136388635e-06
0,0,7.374650886049494e-05,0.7166760548949241,ablation,random,ablate,7.444033932794507e-05,0.7167204871773721,6.938304674501266e-07,4.443228244799258e-05
0,1,0.7212561964988708,0.6261752605438233,ablation,entropy,ablate,0.7216300964355469,0.6261603832244873,0.0003738999366760254,-1.4877319336026318e-05
0,1,0.7212561964988708,0.6261752605438233,ablation,confidence,ablate,0.7215568423271179,0.6261603146791459,0.0003006458282470703,-1.49458646774292e-05
0,1,0.7212561964988708,0.6261752605438233,ablation,random,ablate,0.7214296261469523,0.6256101548671723,0.00017342964808142458,-0.0005651056766510232
0,2,1.0459718704223633,0.3191902160644531,ablation,entropy,ablate,1.0430634021759033,0.3185577392578125,-0.002908468246459961,-0.0006324768066405806
0,2,1.0459718704223633,0.3191902160644531,ablation,confidence,ablate,1.0448750257492065,0.3192611694335938,-0.0010968446731567383,7.095336914070272e-05
0,2,1.0459718704223633,0.3191902160644531,ablation,random,ablate,1.0469220479329426,0.31916224161783857,0.0009501775105793531,-2.797444661450932e-05
0,3,0.0005180365405976772,0.7513807445764542,ablation,entropy,ablate,0.0005262967315502465,0.752410051226616,8.260190952569246e-06,0.0010293066501617654
0,3,0.0005180365405976772,0.7513807445764542,ablation,confidence,ablate,0.0005088942707516253,0.7515316933393478,-9.142269846051931e-06,0.00015094876289356574
0,3,0.0005180365405976772,0.7513807445764542,ablation,random,ablate,0.000513227287835131,0.7513294180234272,-4.809252762546178e-06,-5.132655302697575e-05
0,4,0.026213958859443665,0.5326912164688111,ablation,entropy,ablate,0.025862203910946846,0.5326912164688111,-0.00035175494849681854,0.0
0,4,0.026213958859443665,0.5326912164688111,ablation,confidence,ablate,0.025929778814315796,0.5326709985733032,-0.00028418004512786865,-2.0217895507879113e-05
0,4,0.026213958859443665,0.5326912164688111,ablation,random,ablate,0.026143322388331097,0.5318208813667297,-7.063647111256802e-05,-0.0008703351020814543
0,5,0.00012605817755684257,0.71741314381361,ablation,entropy,ablate,0.00012643881200347096,0.7178152918815611,3.8063444662839174e-07,0.0004021480679511358
0,5,0.00012605817755684257,0.71741314381361,ablation,confidence,ablate,0.00012605817755684257,0.7171595767140388,0.0,-0.0002535670995711392
0,5,0.00012605817755684257,0.71741314381361,ablation,random,ablate,0.00012386954525330415,0.7173268780112266,-2.1886323035384128e-06,-8.626580238335624e-05
0,6,0.8596900105476379,0.6422719001770019,ablation,entropy,ablate,0.8614716529846191,0.6430500984191894,0.0017816424369812012,0.0007781982421875
0,6,0.8596900105476379,0.6422719001770019,ablation,confidence,ablate,0.8581563234329224,0.642506217956543,-0.0015336871147155762,0.00023431777954108224
0,6,0.8596900105476379,0.6422719001770019,ablation,random,ablate,0.8603701790173849,0.6425593694051107,0.0006801684697469446,0.0002874692281088498
0,7,0.40181252360343933,0.6440155029296875,ablation,entropy,ablate,0.40857574343681335,0.6443495750427246,0.0067632198333740234,0.0003340721130371538
0,7,0.40181252360343933,0.6440155029296875,ablation,confidence,ablate,0.4044262766838074,0.6443648338317871,0.002613753080368042,0.0003493309020996538
0,7,0.40181252360343933,0.6440155029296875,ablation,random,ablate,0.40425259868303937,0.6442664464314779,0.0024400750796000348,0.000250943501790446
0,8,0.00012029499339405447,0.6732278317213058,ablation,entropy,ablate,0.00012203036749269813,0.6724804863333702,1.7353740986436605e-06,-0.0007473453879356384
0,8,0.00012029499339405447,0.6732278317213058,ablation,confidence,ablate,0.00012203036749269813,0.6719229698181152,1.7353740986436605e-06,-0.0013048619031906794
0,8,0.00012029499339405447,0.6732278317213058,ablation,random,ablate,0.0001195431638431425,0.6727907260258993,-7.518295509119783e-07,-0.00043710569540655886
0,9,1.2797024282917846e-05,0.4940751329064369,ablation,entropy,ablate,1.2791309927706607e-05,0.49440136253833766,-5.714355211239308e-09,0.00032622963190076515
0,9,1.2797024282917846e-05,0.4940751329064369,ablation,confidence,ablate,1.2753619557770435e-05,0.49203444421291354,-4.340472514741123e-08,-0.0020406886935233626
0,9,1.2797024282917846e-05,0.4940751329064369,ablation,random,ablate,1.2479379923509745e-05,0.4934345324834188,-3.176443594081011e-07,-0.0006406004230181117
0,10,0.0015260317595675588,0.7218878954648971,ablation,entropy,ablate,0.001534898765385151,0.7233056291937828,8.867005817592144e-06,0.0014177337288857617
0,10,0.0015260317595675588,0.7218878954648971,ablation,confidence,ablate,0.0015495889820158482,0.7223097532987595,2.3557222448289394e-05,0.0004218578338623935
0,10,0.0015260317595675588,0.7218878954648971,ablation,random,ablate,0.0015271216398105025,0.7226326778531075,1.0898802429437637e-06,0.0007447823882104077
0,11,0.00033712698495946825,0.6489417433738708,ablation,entropy,ablate,0.0003396787215024233,0.6487381488084792,2.551736542955041e-06,-0.00020359456539154053
0,11,0.00033712698495946825,0.6489417433738708,ablation,confidence,ablate,0.0003358860267326236,0.6485093981027602,-1.2409582268446684e-06,-0.0004323452711105791
0,11,0.00033712698495946825,0.6489417433738708,ablation,random,ablate,0.00033157597257134813,0.6492309580246607,-5.551012388120113e-06,0.00028921465078990405
0,12,0.5480306148529053,0.5286758422851562,ablation,entropy,ablate,0.5513468980789185,0.5302274227142334,0.0033162832260131836,0.001551580429077215
0,12,0.5480306148529053,0.5286758422851562,ablation,confidence,ablate,0.5475406646728516,0.5286758422851562,-0.0004899501800537109,0.0
0,12,0.5480306148529053,0.5286758422851562,ablation,random,ablate,0.5465949376424154,0.5286994139353435,-0.0014356772104898718,2.3571650187292903e-05
0,13,0.0001836041483329609,0.6744292318820952,ablation,entropy,ablate,0.0001917387853609398,0.6753228724002838,8.134637027978897e-06,0.000893640518188521
0,13,0.0001836041483329609,0.6744292318820952,ablation,confidence,ablate,0.00018899209680967033,0.6750009566545485,5.3879484767094254e-06,0.0005717247724532637
0,13,0.0001836041483329609,0.6744292318820952,ablation,random,ablate,0.0001830168233330672,0.6748615836103756,-5.87324999893696e-07,0.00043235172828037793
0,14,1.1916505098342896,0.447467041015625,ablation,entropy,ablate,1.190959095954895,0.44831848144531244,-0.0006914138793945312,0.0008514404296874334
0,14,1.1916505098342896,0.447467041015625,ablation,confidence,ablate,1.1874648332595825,0.447467041015625,-0.004185676574707031,0.0
0,14,1.1916505098342896,0.447467041015625,ablation,random,ablate,1.1882793108622234,0.44813079833984376,-0.0033711989720661695,0.00066375732421875
0,15,1.0200059413909912,0.6487410306930542,ablation,entropy,ablate,1.0200059413909912,0.6496503233909606,0.0,0.0009092926979064053
0,15,1.0200059413909912,0.6487410306930542,ablation,confidence,ablate,1.0200059413909912,0.6486532926559448,0.0,-8.7738037109375e-05
0,15,1.0200059413909912,0.6487410306930542,ablation,random,ablate,1.0207928816477458,0.6493733962376913,0.0007869402567546313,0.0006323655446370813
0,16,0.03965812176465988,0.27619171142578125,ablation,entropy,ablate,0.04046827182173729,0.2744873046875,0.0008101500570774078,-0.001704406738281261
0,16,0.03965812176465988,0.27619171142578125,ablation,confidence,ablate,0.03947040066123009,0.27619171142578125,-0.0001877211034297943,0.0
