layer,example_id,baseline_mc_entropy,baseline_conf_signal,intervention_type,direction,alpha,post_mc_entropy,post_conf_signal,delta_mc_entropy,delta_conf_signal
0,0,7.374650886049494e-05,0.7166760548949241,steering,entropy,-3.0,0.00015154738503042608,0.6790706515312195,7.780087616993114e-05,-0.03760540336370466
0,0,7.374650886049494e-05,0.7166760548949241,steering,entropy,3.0,5.732836507377215e-05,0.7503959998488426,-1.6418143786722794e-05,0.0337199449539185
0,0,7.374650886049494e-05,0.7166760548949241,steering,confidence,-3.0,6.69308501528576e-05,0.7275750666856766,-6.81565870763734e-06,0.010899011790752478
0,0,7.374650886049494e-05,0.7166760548949241,steering,confidence,3.0,0.0002821320667862892,0.7099610567092896,0.00020838555792579427,-0.006714998185634591
0,0,7.374650886049494e-05,0.7166760548949241,steering,random,-3.0,0.0003790572651875361,0.7154043018817902,0.00030531075632704113,-0.0012717530131339805
0,0,7.374650886049494e-05,0.7166760548949241,steering,random,3.0,0.00010909333893020327,0.7319634427626927,3.534683006970833e-05,0.01528738786776851
0,1,0.7212561964988708,0.6261752605438233,steering,entropy,-3.0,0.7133862376213074,0.6555560991168021,-0.007869958877563477,0.029380838572978796
0,1,0.7212561964988708,0.6261752605438233,steering,entropy,3.0,0.7109884023666382,0.6559502527117729,-0.010267794132232666,0.029774992167949543
0,1,0.7212561964988708,0.6261752605438233,steering,confidence,-3.0,0.7170073986053467,0.6698510497808456,-0.00424879789352417,0.04367578923702231
0,1,0.7212561964988708,0.6261752605438233,steering,confidence,3.0,0.591433048248291,0.6541595965623855,-0.12982314825057983,0.027984336018562206
0,1,0.7212561964988708,0.6261752605438233,steering,random,-3.0,0.7072369257609049,0.6606926823655764,-0.014019270737965939,0.0345174218217531
0,1,0.7212561964988708,0.6261752605438233,steering,random,3.0,0.6422830820083618,0.6694880639513333,-0.07897311449050903,0.04331280340750998
0,2,1.0459718704223633,0.3191902160644531,steering,entropy,-3.0,0.8649469614028931,0.4290616989135742,-0.18102490901947021,0.10987148284912113
0,2,1.0459718704223633,0.3191902160644531,steering,entropy,3.0,0.9457628130912781,0.3757064819335938,-0.1002090573310852,0.056516265869140714
0,2,1.0459718704223633,0.3191902160644531,steering,confidence,-3.0,0.9561830759048462,0.39726791381835935,-0.08978879451751709,0.07807769775390627
0,2,1.0459718704223633,0.3191902160644531,steering,confidence,3.0,0.6336543560028076,0.4344164848327636,-0.41231751441955566,0.11522626876831055
0,2,1.0459718704223633,0.3191902160644531,steering,random,-3.0,0.8515636324882507,0.436879825592041,-0.19440823793411255,0.11768960952758795
0,2,1.0459718704223633,0.3191902160644531,steering,random,3.0,0.8435074289639791,0.4051279067993163,-0.20246444145838416,0.08593769073486324
0,3,0.0005180365405976772,0.7513807445764542,steering,entropy,-3.0,0.00046572531573474407,0.6884541243314743,-5.231122486293316e-05,-0.06292662024497986
0,3,0.0005180365405976772,0.7513807445764542,steering,entropy,3.0,0.00018164461653213948,0.7781214863061905,-0.00033639192406553775,0.026740741729736284
0,3,0.0005180365405976772,0.7513807445764542,steering,confidence,-3.0,0.0002894953649956733,0.768254990875721,-0.00022854117560200393,0.016874246299266815
0,3,0.0005180365405976772,0.7513807445764542,steering,confidence,3.0,0.003385176183655858,0.6606521457433701,0.002867139643058181,-0.09072859883308415
0,3,0.0005180365405976772,0.7513807445764542,steering,random,-3.0,0.002126872709292608,0.7112404728929201,0.0016088361686949306,-0.04014027168353407
0,3,0.0005180365405976772,0.7513807445764542,steering,random,3.0,0.0010965084560060252,0.7596355840563774,0.000578471915408348,0.008254839479923226
0,4,0.026213958859443665,0.5326912164688111,steering,entropy,-3.0,0.018088117241859436,0.5735570311546326,-0.008125841617584229,0.04086581468582151
0,4,0.026213958859443665,0.5326912164688111,steering,entropy,3.0,0.011037224903702736,0.5442811369895935,-0.015176733955740929,0.011589920520782337
0,4,0.026213958859443665,0.5326912164688111,steering,confidence,-3.0,0.02063453197479248,0.550281947851181,-0.005579426884651184,0.017590731382369884
0,4,0.026213958859443665,0.5326912164688111,steering,confidence,3.0,0.014342499896883965,0.6094662070274354,-0.0118714589625597,0.07677499055862425
0,4,0.026213958859443665,0.5326912164688111,steering,random,-3.0,0.05430051187674204,0.5905116428931554,0.028086553017298378,0.05782042642434426
0,4,0.026213958859443665,0.5326912164688111,steering,random,3.0,0.020231223509957392,0.5721086521943409,-0.005982735349486273,0.039417435725529804
0,5,0.00012605817755684257,0.71741314381361,steering,entropy,-3.0,0.00021997879957780242,0.7120719864964485,9.392062202095985e-05,-0.005341157317161449
0,5,0.00012605817755684257,0.71741314381361,steering,entropy,3.0,8.129823982017115e-05,0.7333185270428657,-4.475993773667142e-05,0.01590538322925572
0,5,0.00012605817755684257,0.71741314381361,steering,confidence,-3.0,0.00012022134615108371,0.7308577418327331,-5.836831405758858e-06,0.013444598019123122
0,5,0.00012605817755684257,0.71741314381361,steering,confidence,3.0,0.000423980294726789,0.7124383077025414,0.00029792211716994643,-0.004974836111068637
0,5,0.00012605817755684257,0.71741314381361,steering,random,-3.0,0.003416268426614503,0.7329057375590006,0.0032902102490576604,0.015492593745390582
0,5,0.00012605817755684257,0.71741314381361,steering,random,3.0,0.0007760508354598036,0.7314119845628738,0.000649992657902961,0.01399884074926383
0,6,0.8596900105476379,0.6422719001770019,steering,entropy,-3.0,0.8808891773223877,0.6419357180595398,0.021199166774749756,-0.0003361821174621138
0,6,0.8596900105476379,0.6422719001770019,steering,entropy,3.0,0.835835337638855,0.6614863395690918,-0.02385467290878296,0.019214439392089888
0,6,0.8596900105476379,0.6422719001770019,steering,confidence,-3.0,0.834834098815918,0.6748378992080688,-0.02485591173171997,0.03256599903106694
