layer,example_id,baseline_mc_entropy,baseline_conf_signal,scoring_mode_mc,scoring_mode_conf,intervention_type,direction,alpha,post_mc_entropy,post_conf_signal,delta_mc_entropy,delta_conf_signal,fit_r2_mc,fit_r2_conf
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,ablation,entropy,ablate,0.006578420288860798,0.947842700779438,2.8234906494617462e-05,-0.00010491460561745658,,
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,ablation,confidence,ablate,0.006532110273838043,0.947952166199684,-1.8075108528137207e-05,4.55081462857887e-06,,
0,0,0.00655018538236618,0.9479476153850555,single_token,single_token,ablation,random,ablate,0.0065279741150637465,0.9478821486234664,-2.221126730243394e-05,-6.546676158902809e-05,,
0,1,0.4817783236503601,0.9341026425361633,single_token,single_token,ablation,entropy,ablate,0.4816321134567261,0.9342001721262931,-0.0001462101936340332,9.75295901298745e-05,,
0,1,0.4817783236503601,0.9341026425361633,single_token,single_token,ablation,confidence,ablate,0.48363620042800903,0.9341312587261199,0.0018578767776489258,2.8616189956642835e-05,,
0,1,0.4817783236503601,0.9341026425361633,single_token,single_token,ablation,random,ablate,0.4818175435066223,0.9341511368751525,3.921985626220703e-05,4.849433898923561e-05,,
0,2,1.0634565353393555,0.8390066042542457,single_token,single_token,ablation,entropy,ablate,1.064266562461853,0.8396367281675339,0.0008100271224975586,0.0006301239132882053,,
0,2,1.0634565353393555,0.8390066042542457,single_token,single_token,ablation,confidence,ablate,1.0625882148742676,0.8386643663048744,-0.0008683204650878906,-0.0003422379493712713,,
0,2,1.0634565353393555,0.8390066042542457,single_token,single_token,ablation,random,ablate,1.0632322231928508,0.8389168923099836,-0.00022431214650464604,-8.971194426210527e-05,,
0,3,0.00524127995595336,0.9491139024496078,single_token,single_token,ablation,entropy,ablate,0.005223947111517191,0.9490378275513648,-1.733284443616867e-05,-7.607489824301705e-05,,
0,3,0.00524127995595336,0.9491139024496078,single_token,single_token,ablation,confidence,ablate,0.005189737305045128,0.9491113394498825,-5.1542650908231735e-05,-2.562999725341797e-06,,
0,3,0.00524127995595336,0.9491139024496078,single_token,single_token,ablation,random,ablate,0.005214347504079342,0.9491240819295247,-2.6932451874017715e-05,1.017947991688306e-05,,
0,4,0.7308279871940613,0.812717279791832,single_token,single_token,ablation,entropy,ablate,0.7342411279678345,0.8136502683162689,0.0034131407737731934,0.0009329885244369063,,
0,4,0.7308279871940613,0.812717279791832,single_token,single_token,ablation,confidence,ablate,0.7318365573883057,0.8116961538791656,0.0010085701942443848,-0.001021125912666343,,
0,4,0.7308279871940613,0.812717279791832,single_token,single_token,ablation,random,ablate,0.7312789162000021,0.8127197802066805,0.0004509290059407922,2.5004148485052724e-06,,
0,5,0.002142801182344556,0.9490937724709511,single_token,single_token,ablation,entropy,ablate,0.0021247591357678175,0.9494795992970466,-1.8042046576738358e-05,0.00038582682609555885,,
0,5,0.002142801182344556,0.9490937724709511,single_token,single_token,ablation,confidence,ablate,0.0021034139208495617,0.9490941062569618,-3.9387261494994164e-05,3.3378601071998304e-07,,
0,5,0.002142801182344556,0.9490937724709511,single_token,single_token,ablation,random,ablate,0.0020989707360665,0.9492351179321608,-4.3830446278055653e-05,0.0001413454612096965,,
0,6,0.8066517114639282,0.8782457321882248,single_token,single_token,ablation,entropy,ablate,0.8105299472808838,0.8785684585571288,0.0038782358169555664,0.00032272636890406936,,
0,6,0.8066517114639282,0.8782457321882248,single_token,single_token,ablation,confidence,ablate,0.806685209274292,0.8782661721110343,3.349781036376953e-05,2.0439922809534217e-05,,
0,6,0.8066517114639282,0.8782457321882248,single_token,single_token,ablation,random,ablate,0.8079066475232443,0.8782459611694019,0.0012549360593160364,2.2898117713054944e-07,,
0,7,1.073642373085022,0.7839940413832664,single_token,single_token,ablation,entropy,ablate,1.074927806854248,0.7843868598341941,0.0012854337692260742,0.00039281845092764556,,
0,7,1.073642373085022,0.7839940413832664,single_token,single_token,ablation,confidence,ablate,1.0727885961532593,0.7837270423769951,-0.0008537769317626953,-0.0002669990062713623,,
0,7,1.073642373085022,0.7839940413832664,single_token,single_token,ablation,random,ablate,1.0726842482884724,0.7841381172339122,-0.0009581247965495532,0.0001440758506457973,,
0,8,0.0018897573463618755,0.9492169767618179,single_token,single_token,ablation,entropy,ablate,0.0018889924976974726,0.949256756901741,-7.648486644029617e-07,3.978013992311791e-05,,
0,8,0.0018897573463618755,0.9492169767618179,single_token,single_token,ablation,confidence,ablate,0.0018905677134171128,0.9492995291948318,8.103670552372932e-07,8.255243301391602e-05,,
0,8,0.0018897573463618755,0.9492169767618179,single_token,single_token,ablation,random,ablate,0.0018792472934971254,0.9492715338865917,-1.0510052864750154e-05,5.4557124773757515e-05,,
0,9,0.0006385066662915051,0.9491964310407638,single_token,single_token,ablation,entropy,ablate,0.0006389622576534748,0.949086445569992,4.555913619697094e-07,-0.00010998547077178955,,
0,9,0.0006385066662915051,0.9491964310407638,single_token,single_token,ablation,confidence,ablate,0.0006345445872284472,0.9492378398776053,-3.9620790630578995e-06,4.140883684156105e-05,,
0,9,0.0006385066662915051,0.9491964310407638,single_token,single_token,ablation,random,ablate,0.0006410790956579149,0.9491385628779728,2.5724293664097786e-06,-5.786816279096385e-05,,
0,10,0.011088701896369457,0.9499473705887794,single_token,single_token,ablation,entropy,ablate,0.011197837069630623,0.9499319776892662,0.00010913517326116562,-1.539289951324463e-05,,
