,conf_L12_c,conf_L12_e,conf_L12_rnorm,conf_L14_c,conf_L14_e,conf_L14_rnorm,conf_L15_c,conf_L15_e,conf_L15_rnorm,conf_L16_c,conf_L16_e,conf_L16_rnorm,conf_L18_c,conf_L18_e,conf_L18_rnorm,conf_L20_c,conf_L20_e,conf_L20_rnorm,conf_L24_c,conf_L24_e,conf_L24_rnorm,conf_L28_c,conf_L28_e,conf_L28_rnorm,conf_L31_c,conf_L31_e,conf_L31_rnorm
conf_L12_c,1.0,-0.858485970535232,-0.6240626545100627,0.7514000614941647,-0.7650204764967934,-0.21845138571408448,0.6783710437961908,-0.7193389232494881,0.35482632143784093,0.6587652785646133,-0.694362680191757,0.4989707864243301,0.6315648825963271,-0.6624786084936376,0.48579960469437533,0.6439881305906309,-0.6589489584357545,0.43453738846558854,0.655553269240475,-0.6698982321454764,-0.4619771211934773,0.6584853281578001,-0.6641935118104544,-0.1548877756414693,0.6733056921511202,-0.6671253287471698,-0.663740065341576
conf_L12_e,-0.858485970535232,1.0,0.4297945766905178,-0.8229498158556513,0.8341447550544794,0.06805903737803691,-0.7400504326888735,0.7811080490599341,-0.43442499842949245,-0.7229494500397229,0.7567158233916821,-0.5756612222307335,-0.68755646111602,0.7289800023702987,-0.615160631628935,-0.7007190712487009,0.7227651377584638,-0.5980165641354928,-0.7144025323880651,0.7420339218741446,0.47000211961171706,-0.7161763116412232,0.7411519771770183,0.14714896494967178,-0.7355226776653647,0.7459721331788016,0.7184446789216913
conf_L12_rnorm,-0.6240626545100627,0.4297945766905178,1.0,-0.3267173101234472,0.36634121187252355,0.152031343724555,-0.2990148889090032,0.33733914658314657,-0.17701362002526325,-0.27715472255219104,0.30978481325859575,-0.24135860784279514,-0.25643962128227066,0.28984521345825176,-0.181174463950571,-0.2709891421539492,0.2954355045760242,-0.18056608661531448,-0.27944036416218565,0.30759813218100374,0.1939028947437851,-0.2823873738532537,0.30554583912074423,0.052659788662384625,-0.29456697018303946,0.3081512765343965,0.2897278379248139
conf_L14_c,0.7514000614941647,-0.8229498158556513,-0.3267173101234472,1.0,-0.9648026432607737,-0.2409532178389668,0.9225485945057429,-0.9322936680039319,0.40578658906236637,0.9096835809154356,-0.9144136701924501,0.6092943796817357,0.8912621522143196,-0.904753170077234,0.7313282338794648,0.8943901418276583,-0.8890189622977787,0.6068378093212264,0.9024239030545018,-0.893835670474056,-0.686072639397797,0.903974767988578,-0.8844442209919124,-0.2675868036138971,0.9087834647251777,-0.8774247651230999,-0.872027940261203
conf_L14_e,-0.7650204764967934,0.8341447550544794,0.36634121187252355,-0.9648026432607737,1.0,0.15415773524300308,-0.8979086941856569,0.9586009835925741,-0.3678506232562359,-0.8870201160195248,0.9359507091724024,-0.640420786602702,-0.8542140679122525,0.9009168593595202,-0.704374960199246,-0.869595218973991,0.8963551534199947,-0.5763132436457566,-0.8827558772411694,0.9084885407483946,0.6789844713810262,-0.883266281392698,0.9006861144450308,0.2608758921425229,-0.8981219544696715,0.8907942796672476,0.8816275965466084
conf_L14_rnorm,-0.21845138571408448,0.06805903737803691,0.152031343724555,-0.2409532178389668,0.15415773524300308,1.0,-0.1944989611263458,0.1569469138794233,0.14544260204297677,-0.19419022858543852,0.15917225492969186,-0.012165543191303928,-0.20174785193072453,0.16150803103716777,-0.10973193709377953,-0.1895059211811626,0.14832514185848694,-0.012874811512432274,-0.18375245801767312,0.13522850481065432,0.1582473707447616,-0.18467500429778566,0.12451676611480039,0.07429186892989291,-0.1730841445946902,0.1203492167712608,0.14791070621278024
conf_L15_c,0.6783710437961908,-0.7400504326888735,-0.2990148889090032,0.9225485945057429,-0.8979086941856569,-0.1944989611263458,1.0,-0.9637458505612001,0.5665561424105048,0.9951983900483544,-0.9717837463235086,0.7248107807728953,0.9750731564477559,-0.9800841384667166,0.7562453107563113,0.9802971615382577,-0.9727853190002046,0.5747501979883176,0.983117020010691,-0.9672339296622637,-0.8132397967213144,0.9842305490824707,-0.9614057082755891,-0.32228414960218016,0.9828241794476537,-0.9454620631529598,-0.9516909258446393
conf_L15_e,-0.7193389232494881,0.7811080490599341,0.33733914658314657,-0.9322936680039319,0.9586009835925741,0.1569469138794233,-0.9637458505612001,1.0,-0.45317503020652594,-0.9585927685494049,0.993657667159989,-0.7206224573174498,-0.9262307354950495,0.9709929697181877,-0.7251416233144499,-0.9430649064491758,0.9718920788176988,-0.5477835570203515,-0.9533545637913016,0.978122885948499,0.799138260203675,-0.953719589984789,0.9723743939342626,0.3444563256504426,-0.9663928193202417,0.9567460121945672,0.9572098294843888
conf_L15_rnorm,0.35482632143784093,-0.43442499842949245,-0.17701362002526325,0.40578658906236637,-0.3678506232562359,0.14544260204297677,0.5665561424105048,-0.45317503020652594,1.0,0.5474660714688768,-0.4650695326061293,0.6770728752039911,0.5255015505427872,-0.509522662595203,0.5196427616403332,0.5173271590971499,-0.5001303554546268,0.5745655334834595,0.5181844903917289,-0.511380984053594,-0.3175171042583728,0.5261608672977617,-0.5299644941994497,-0.049409699767494035,0.5410255683011982,-0.5524306216850359,-0.5020961584537682
conf_L16_c,0.6587652785646133,-0.7229494500397229,-0.27715472255219104,0.9096835809154356,-0.8870201160195248,-0.19419022858543852,0.9951983900483544,-0.9585927685494049,0.5474660714688768,1.0,-0.9738041340426892,0.7291994142081217,0.985614958512869,-0.9862827183458625,0.7651527469483359,0.9906066301950768,-0.979773060513032,0.5664231658643731,0.9913989748311044,-0.9700174368969602,-0.8347387013418259,0.991186832614416,-0.9639616341781112,-0.34808604623233386,0.9850873034959307,-0.9445226437719558,-0.9557097452545117
