,mc_L12_c,mc_L12_e,mc_L12_rnorm,mc_L14_c,mc_L14_e,mc_L14_rnorm,mc_L15_c,mc_L15_e,mc_L15_rnorm,mc_L16_c,mc_L16_e,mc_L16_rnorm,mc_L18_c,mc_L18_e,mc_L18_rnorm,mc_L20_c,mc_L20_e,mc_L20_rnorm,mc_L24_c,mc_L24_e,mc_L24_rnorm,mc_L28_c,mc_L28_e,mc_L28_rnorm,mc_L31_c,mc_L31_e,mc_L31_rnorm
mc_L16_e,-0.8156052598693512,0.8193117284689827,0.03331941658900206,-0.923044232657424,0.9772695297875409,-0.12323618571300621,-0.9413025578304605,0.9958973687544708,0.21715505793756032,-0.9545846801185214,1.0,-0.49056134661604317,-0.9022066309345763,0.9679410355984543,-0.5326768999042464,-0.9167940803542121,0.9695331747414577,-0.5636689155354182,-0.8976126014752909,0.9641365155319006,0.33020551331149306,-0.8920774253133626,0.9623824380196077,0.11387267003658814,-0.8996140051385972,0.9217525070815658,0.848922679397318
mc_L16_rnorm,0.2998469957082436,-0.38359131022786874,0.22548835002115675,0.39388053798177114,-0.42581579473000214,0.2918557664854004,0.4380362918452826,-0.45321513077001213,0.338361128854853,0.45960946270848435,-0.49056134661604317,1.0,0.4844461080020426,-0.4878722331948905,0.5495430437260392,0.49416227955168246,-0.4955234682532439,0.5132997133942727,0.49076627229455805,-0.49315364283438456,0.0732865819214367,0.48694144366907105,-0.4983903606858013,0.08733443903120705,0.44209752043116657,-0.450962499136129,-0.35864023631011943
mc_L18_c,0.7365797186965882,-0.7408376223290107,-0.0631737215131616,0.9266318348462506,-0.8647346770683375,0.21863655984031216,0.9583612043705743,-0.8892404176263113,-0.04870916209454979,0.9521430927101436,-0.9022066309345763,0.4844461080020426,1.0,-0.9434563809242648,0.6880357950008111,0.9925988750474916,-0.9278725513522141,0.6499350953390666,0.9875736978026968,-0.9275015185393357,-0.21061443306390948,0.9795062796707503,-0.929961089713021,0.004513217816155621,0.8917199277495883,-0.8710128752644615,-0.7601818724927736
mc_L18_e,-0.774628811637361,0.775982123208583,0.03618645196091842,-0.9112320526531047,0.9352604503722458,-0.12708010347498241,-0.9348918752297553,0.9588054667312006,0.20382180066203565,-0.9454930280168667,0.9679410355984543,-0.4878722331948905,-0.9434563809242648,1.0,-0.6284419411532709,-0.9518070437344385,0.9933305269612386,-0.6002991105114028,-0.9496107451645701,0.9919875409405128,0.35904859218507,-0.9440994138705499,0.9821416249166961,0.0627331874998128,-0.8945776992110427,0.9069062276295248,0.8047858812663432
mc_L18_rnorm,0.4702157314220263,-0.49151753741098414,0.05592696122125704,0.6109220679711737,-0.5099857188727935,0.22857553961336743,0.5954985906012676,-0.5093784851998142,0.18535567176041273,0.5799693362754609,-0.5326768999042464,0.5495430437260392,0.6880357950008111,-0.6284419411532709,1.0,0.6678166181596794,-0.6000504613059188,0.8160028677789226,0.6935433917659845,-0.5967654699864631,0.023237879107439966,0.697739343829664,-0.5945997757457283,0.18002995316097742,0.5457144083464214,-0.5051301893185274,-0.34723037307868926
mc_L20_c,0.7279621708242483,-0.7323785769596824,-0.05671760585975787,0.9273168977450087,-0.8736416941452108,0.21112980372140244,0.9640964244834548,-0.9017790734564025,-0.08763810764626645,0.9620540478761944,-0.9167940803542121,0.49416227955168246,0.9925988750474916,-0.9518070437344385,0.6678166181596794,1.0,-0.9462615065545021,0.6477522875999924,0.9915441535190715,-0.9456787659385952,-0.2533203070525145,0.9867181778519728,-0.9507638269388645,-0.028974476179119656,0.9170016324144357,-0.9017918885078622,-0.8031275491638773
mc_L20_e,-0.7641705784920418,0.7682377634020584,0.033684845651665594,-0.8976395107836459,0.9329105587812487,-0.11772158674190701,-0.9281673701078108,0.959233531446329,0.23136585157805561,-0.9429254388426546,0.9695331747414577,-0.4955234682532439,-0.9278725513522141,0.9933305269612386,-0.6000504613059188,-0.9462615065545021,1.0,-0.5847080813347205,-0.9368507315332228,0.9966949561400885,0.4008842533906063,-0.9350494783598584,0.9908276625826197,0.12050339889552113,-0.9119536427372379,0.9310925668843176,0.8448169617872922
mc_L20_rnorm,0.4791904474785823,-0.4928731943252434,0.10011829923613848,0.6304057971762359,-0.5349803292350048,0.2682320827060399,0.6205184683556747,-0.5366171946784529,0.15494967994487832,0.6211463564402505,-0.5636689155354182,0.5132997133942727,0.6499350953390666,-0.6002991105114028,0.8160028677789226,0.6477522875999924,-0.5847080813347205,1.0,0.6565433564888058,-0.5815273999491697,0.1436083447839042,0.6628579982601747,-0.5897859244902872,0.24131909546322694,0.5747467879525422,-0.5411053669308233,-0.42574977427209326
mc_L24_c,0.7143097141903798,-0.7189182408278302,-0.05230179053437839,0.9118176776358822,-0.8546691321342851,0.19567084592845468,0.9446524958887341,-0.8816781132842966,-0.08381871019780299,0.9426844825000743,-0.8976126014752909,0.49076627229455805,0.9875736978026968,-0.9496107451645701,0.6935433917659845,0.9915441535190715,-0.9368507315332228,0.6565433564888058,1.0,-0.9429461292121584,-0.2572583035377883,0.994136814262707,-0.9453138842378532,-0.001372038935448364,0.9019227162309363,-0.8824842725821223,-0.7711927053731837
mc_L24_e,-0.760561954314238,0.7668059094171081,0.033145581564165465,-0.8928231239461487,0.9272384197138737,-0.1157457975623063,-0.9255980231034978,0.9539517636323487,0.22673284705387797,-0.9412910292475501,0.9641365155319006,-0.49315364283438456,-0.9275015185393357,0.9919875409405128,-0.5967654699864631,-0.9456787659385952,0.9966949561400885,-0.5815273999491697,-0.9429461292121584,1.0,0.40612143307182264,-0.9412374102725283,0.9950856037649879,0.11756466601905924,-0.9139527187574971,0.9339067496860534,0.8452030920496836
mc_L24_rnorm,-0.2411374033475416,0.21280858072684922,0.146178871800568,-0.23056054174989155,0.32409580736210414,0.18033417614016425,-0.24201095402060074,0.33457387872149114,0.41065511888988315,-0.25987855332330284,0.33020551331149306,0.0732865819214367,-0.21061443306390948,0.35904859218507,0.023237879107439966,-0.2533203070525145,0.4008842533906063,0.1436083447839042,-0.2572583035377883,0.40612143307182264,1.0,-0.2630279316395212,0.3940004444939369,0.708168441249495,-0.3762770876609103,0.414953830530258,0.4642967590525306
mc_L28_c,0.7129028687245332,-0.7172779877012575,-0.05264559409026711,0.9097138584301754,-0.8503869533472442,0.1918461083595626,0.9424090565555974,-0.8758322133640534,-0.07216698232748399,0.9398521438851414,-0.8920774253133626,0.48694144366907105,0.9795062796707503,-0.9440994138705499,0.697739343829664,0.9867181778519728,-0.9350494783598584,0.6628579982601747,0.994136814262707,-0.9412374102725283,-0.2630279316395212,1.0,-0.9491210008633012,-0.025203602055861574,0.9211463042262946,-0.8987294758030255,-0.7936757549804331
mc_L28_e,-0.7648862801839458,0.7739602243582278,0.033256587095783725,-0.8997213567605101,0.9275501416085102,-0.12236469646231662,-0.9326542602232198,0.9523719710927928,0.20354404186841124,-0.9463498981907033,0.9623824380196077,-0.4983903606858013,-0.929961089713021,0.9821416249166961,-0.5945997757457283,-0.9507638269388645,0.9908276625826197,-0.5897859244902872,-0.9453138842378532,0.9950856037649879,0.3940004444939369,-0.9491210008633012,1.0,0.1440512469743268,-0.9410982335883725,0.9591522470330732,0.8777412638580383
mc_L28_rnorm,-0.15447716175042603,0.15612221544522153,0.14047399947309247,-0.041571056879002734,0.14224599903285545,0.18082862975880332,-0.038920762311541506,0.12310863475015797,0.1562926200241199,-0.04975972690873396,0.11387267003658814,0.08733443903120705,0.004513217816155621,0.0627331874998128,0.18002995316097742,-0.028974476179119656,0.12050339889552113,0.24131909546322694,-0.001372038935448364,0.11756466601905924,0.708168441249495,-0.025203602055861574,0.1440512469743268,1.0,-0.25795295807695334,0.29164636645348685,0.41594396679715234
mc_L31_c,0.7482738049727248,-0.7519972432187934,-0.06895824972783231,0.8783016465294664,-0.8729349623010091,0.13266431285913682,0.9108490190604372,-0.890268539719976,-0.11921623062959527,0.9151245337499789,-0.8996140051385972,0.44209752043116657,0.8917199277495883,-0.8945776992110427,0.5457144083464214,0.9170016324144357,-0.9119536427372379,0.5747467879525422,0.9019227162309363,-0.9139527187574971,-0.3762770876609103,0.9211463042262946,-0.9410982335883725,-0.25795295807695334,1.0,-0.9862658743148625,-0.942047181052056
mc_L31_e,-0.7554204880832758,0.7660890110642538,0.0503502332923895,-0.8687374722627726,0.897054277092124,-0.10945620121794833,-0.9019997583000781,0.9148166407665959,0.1793808560732427,-0.9122878965762831,0.9217525070815658,-0.450962499136129,-0.8710128752644615,0.9069062276295248,-0.5051301893185274,-0.9017918885078622,0.9310925668843176,-0.5411053669308233,-0.8824842725821223,0.9339067496860534,0.414953830530258,-0.8987294758030255,0.9591522470330732,0.29164636645348685,-0.9862658743148625,1.0,0.9642675272205656
mc_L31_rnorm,-0.6973028813901218,0.7003972131235515,0.06015576549452049,-0.7806080391496786,0.8277936157199877,-0.06894959137589207,-0.8181419229191521,0.8440309631441736,0.23338517828442198,-0.8345327782191928,0.848922679397318,-0.35864023631011943,-0.7601818724927736,0.8047858812663432,-0.34723037307868926,-0.8031275491638773,0.8448169617872922,-0.42574977427209326,-0.7711927053731837,0.8452030920496836,0.4642967590525306,-0.7936757549804331,0.8777412638580383,0.41594396679715234,-0.942047181052056,0.9642675272205656,1.0
