example_id,mc_L12_c,mc_L12_e,mc_L12_rnorm,mc_L14_c,mc_L14_e,mc_L14_rnorm,mc_L15_c,mc_L15_e,mc_L15_rnorm,mc_L16_c,mc_L16_e,mc_L16_rnorm,mc_L18_c,mc_L18_e,mc_L18_rnorm,mc_L20_c,mc_L20_e,mc_L20_rnorm,mc_L24_c,mc_L24_e,mc_L24_rnorm,mc_L28_c,mc_L28_e,mc_L28_rnorm,mc_L31_c,mc_L31_e,mc_L31_rnorm,conf_L12_c,conf_L12_e,conf_L12_rnorm,conf_L14_c,conf_L14_e,conf_L14_rnorm,conf_L15_c,conf_L15_e,conf_L15_rnorm,conf_L16_c,conf_L16_e,conf_L16_rnorm,conf_L18_c,conf_L18_e,conf_L18_rnorm,conf_L20_c,conf_L20_e,conf_L20_rnorm,conf_L24_c,conf_L24_e,conf_L24_rnorm,conf_L28_c,conf_L28_e,conf_L28_rnorm,conf_L31_c,conf_L31_e,conf_L31_rnorm,mc_entropy,conf_signal
106,-0.8559025,0.5083,6.664,-0.4202812,1.104,8.49,-0.64711565,1.546,9.016,-0.7504122,0.76,9.63,-1.444187,1.889,11.27,-1.2537956,1.716,12.945,-3.3861449,5.22,19.66,-2.5462174,7.15,32.2,-20.238802,42.16,61.9,-1.0545297,0.6963,6.594,-1.133479,0.9077,7.94,-0.9735698,0.786,8.625,-0.7567065,-0.18,9.805,-0.89024943,1.125,11.16,-1.6516453,1.07,12.67,-4.809856,4.176,19.73,-5.1834154,5.17,31.72,-42.88726,41.6,74.6,0.474853515625,0.6864515215158462
107,-0.5135954,-0.1617,6.58,0.8735846,-1.379,8.15,0.8683914,-1.494,8.58,1.1922365,-2.605,9.74,0.114286736,-1.647,11.836,0.5327992,-2.148,13.49,-0.9929062,-0.7485,19.83,0.99368054,-2.057,32.66,-9.024126,19.39,49.75,-0.73147273,0.4922,6.508,0.27120364,0.01357,7.973,1.3233385,-0.3257,8.78,1.986166,-1.497,9.914,3.0501924,-0.8193,11.49,2.7041514,-0.929,13.055,1.6025043,1.337,19.28,5.1893663,0.907,31.86,-13.465733,25.53,62.22,0.00096893310546875,0.9446565613150596
108,-0.5532121,0.0185,6.56,0.80274636,-1.045,8.484,0.5444298,-0.911,8.56,0.7178852,-1.897,9.5,-0.30832753,-0.852,11.56,0.12674266,-1.211,13.164,-1.6212862,1.209,19.42,-0.01970148,1.223,32.34,-11.661149,25.98,50.75,-0.88354945,0.5825,6.527,-0.0668647,0.05536,7.973,1.2071693,-0.6377,8.57,2.0102568,-1.88,9.99,2.9672496,-1.14,11.47,2.7324033,-1.446,12.945,1.6315368,0.7217,19.31,5.180135,0.1102,32.2,-14.618242,25.45,60.25,0.1923828125,0.9468317493796348
109,-0.29505494,-0.4924,6.63,1.2456346,-2.19,8.38,1.2098444,-2.416,8.6,1.5608299,-3.611,9.76,0.5154327,-2.83,11.586,0.9541682,-3.35,13.39,-0.59679675,-2.055,19.73,1.2242641,-3.59,32.53,-8.525,16.3,47.6,-0.830541,0.408,6.555,0.5779592,-0.3845,7.96,2.456708,-1.362,9.0,3.4678307,-2.682,10.445,5.3686066,-2.578,12.016,5.026774,-2.916,13.37,4.8690376,-1.538,19.5,10.294159,-3.678,32.0,-0.8240724,14.305,55.88,9.518861770629883e-05,0.949755522608757
110,-0.7079172,0.2126,6.62,0.50628924,-0.005917,8.59,0.19956163,0.09607,8.75,0.31522483,-0.9824,9.84,-0.5100134,0.2883,11.734,-0.18733457,0.097,13.266,-1.8533502,2.53,20.03,-0.35867155,2.928,33.38,-16.292574,33.97,57.72,-0.9779992,0.638,6.582,-1.0817891,0.7407,7.92,-0.67295116,0.612,8.56,-0.4992925,-0.3274,9.805,-0.70228213,0.913,11.29,-1.3687909,0.8613,12.81,-4.4602747,3.88,19.94,-4.6747813,4.844,32.38,-41.628532,39.7,73.8,0.046539306640625,0.7108899712562561
111,-0.39905262,-0.262,6.59,1.3102001,-1.498,8.38,1.2414758,-1.716,8.586,1.4195023,-2.932,9.75,0.58836335,-1.88,11.68,1.1187781,-2.318,13.51,-0.38073385,-0.469,19.89,1.5399473,-1.433,32.5,-8.323286,19.52,48.84,-0.8244008,0.5166,6.547,0.624623,-0.2063,7.777,1.9031357,-0.9404,8.6,2.6914897,-2.178,10.125,4.6460295,-1.922,11.914,4.147055,-2.092,13.086,3.6625817,-0.2668,19.28,8.341759,-1.477,32.16,-4.6362944,18.45,57.16,0.0013294219970703125,0.949550575017929
112,-0.78012234,0.285,6.664,0.86752737,-0.9707,8.25,0.79162985,-1.035,8.59,1.0629442,-2.23,9.68,0.33266073,-1.791,12.25,0.5208941,-1.376,13.6,-0.57810426,0.4812,20.06,0.8037169,1.222,34.53,-14.631368,33.16,61.22,-0.89448225,0.55,6.562,0.23404126,-0.07916,7.96,1.6716444,-0.7793,8.695,2.321198,-1.963,10.08,3.816103,-1.634,11.734,3.4258618,-1.774,13.07,2.456505,0.4473,19.23,6.46539,-0.0784,32.12,-12.292269,24.69,61.7,0.228759765625,0.9469788745045661
113,-0.83162284,0.5146,6.59,0.3395868,0.5996,8.23,0.22522387,0.6865,8.375,0.15030725,0.00764,9.305,-0.7437621,1.327,11.15,-0.5425621,1.504,13.17,-2.3634274,4.656,19.94,-1.1824379,6.188,32.94,-16.73902,37.25,56.56,-1.0857344,0.7334,6.59,-0.63360465,0.7837,7.73,0.08005731,0.3564,8.42,0.4247927,-0.672,9.695,1.0262258,0.1688,11.22,0.37542933,0.161,12.63,-2.2384005,3.205,19.6,-1.070843,3.86,31.95,-33.531868,38.0,70.94,0.58154296875,0.8610095888376236
114,-0.7264959,0.2903,6.67,0.530518,0.089,8.31,0.46540618,0.2776,8.695,0.45249528,-0.6157,9.664,-0.14197722,0.1718,11.87,0.40317184,-0.2087,13.445,-1.1409439,2.148,20.2,0.78768724,1.655,33.22,-10.535582,25.58,53.53,-0.9846914,0.6406,6.59,-0.68694603,0.676,7.883,0.49290314,0.1311,8.7,1.1797633,-1.135,10.125,2.5737777,-0.6694,11.58,2.0788522,-0.831,13.02,0.3187605,1.9375,19.7,3.0972152,1.9375,32.28,-21.19576,30.17,65.25,0.04736328125,0.9296542584896087
115,-0.7514281,0.3809,6.637,0.24461731,0.7085,8.57,-0.6859788,1.509,8.93,-0.9984733,0.9727,9.336,-2.04804,2.82,11.57,-1.7475216,2.793,13.37,-3.6026492,6.004,19.7,-2.5385787,7.785,32.97,-17.02515,37.56,60.7,-1.0110343,0.6895,6.6,-0.66346186,0.7065,7.87,-0.7723983,0.7925,8.73,-0.61376464,-0.1032,9.73,-0.8356962,1.261,11.03,-1.7149154,1.461,12.92,-4.8768196,4.605,20.17,-5.177601,5.703,32.25,-39.312286,39.53,75.3,1.021484375,0.6711839258670806
116,-0.53716433,-0.02887,6.58,1.1570294,-0.909,8.56,1.2051574,-0.894,8.83,1.5000634,-2.117,10.05,1.0246199,-2.229,12.49,1.3807113,-2.426,13.81,0.16537887,-0.9575,20.11,2.3000934,-1.839,34.0,-11.485604,26.83,58.7,-0.8443848,0.526,6.523,0.17174903,0.09216,7.934,1.945631,-0.7256,8.81,2.6451406,-2.018,10.336,4.1562014,-1.624,11.89,3.7450912,-1.834,13.23,3.2756634,0.05817,19.64,8.021568,-0.7227,33.16,-8.972753,24.28,61.06,0.003208160400390625,0.9495913594961166
117,-0.41732156,-0.272,6.684,1.1943834,-1.044,8.484,1.0515997,-1.12,8.73,1.2146702,-2.213,9.766,0.70118165,-1.233,12.28,0.9798574,-1.598,13.81,-0.50884014,0.3943,19.97,1.5866706,-1.024,33.22,-10.241812,23.17,54.7,-0.71794313,0.4177,6.58,0.5146551,-0.2013,7.934,1.5813859,-0.7847,8.66,2.2590785,-1.996,9.88,3.698032,-1.369,11.7,3.277112,-1.492,13.09,2.3234649,0.875,19.53,6.802403,0.00767,32.34,-10.711224,24.95,61.22,0.0022144317626953125,0.9480160757899284
118,-0.900975,0.3884,6.656,-0.08684537,0.389,8.48,-0.18032667,0.5327,8.52,-0.06604324,-0.3203,9.5,-1.3039885,0.614,11.58,-0.98164105,0.3228,13.445,-2.8846228,2.875,19.75,-1.8356962,3.775,33.72,-18.479973,36.38,60.03,-0.8170684,0.6255,6.47,-0.5104108,0.66,7.805,-0.22259293,0.4,8.43,0.071514025,-0.5977,9.55,0.42981893,0.471,11.164,-0.2571188,0.5137,12.81,-3.1346202,3.656,20.08,-2.7264426,4.78,32.4,-39.430374,41.2,75.6,0.130859375,0.7765015244483948
119,-0.43168062,-0.3618,6.69,1.0366547,-1.367,8.38,0.7573905,-1.185,8.695,0.8961303,-2.19,9.766,0.2533821,-1.052,11.93,0.7080885,-1.184,13.63,-0.6128981,0.6367,20.19,1.3720664,-0.7246,33.38,-10.5279455,23.25,54.03,-0.6533588,0.3843,6.44,0.30472764,-0.1259,8.05,1.8952115,-0.825,9.0,2.5054712,-2.092,10.26,3.9338188,-1.657,11.73,3.5616314,-1.787,13.125,2.5733457,0.269,19.4,6.89388,-0.6577,32.5,-9.370737,22.03,60.44,0.00316619873046875,0.9477176889777184
120,-0.67686987,0.2148,6.66,1.0293303,-0.572,8.56,0.5714158,-0.4973,8.55,0.6450137,-1.594,9.73,0.07763657,-1.0,11.875,0.6374143,-1.654,13.61,-0.93516594,0.313,19.58,1.15172,-0.54,32.8,-10.593476,22.69,50.2,-0.93361795,0.6104,6.598,-0.2280139,0.2842,7.758,1.4526553,-0.6475,8.625,2.0075207,-1.8545,10.086,3.005193,-1.205,11.53,2.8662553,-1.646,12.95,1.9429457,0.3464,19.16,6.0691853,-0.621,31.8,-9.136517,21.31,57.16,0.0019121170043945312,0.9491538316011429
121,-0.7805979,0.3193,6.61,0.54617417,0.0178,8.2,0.13759993,0.4375,8.54,0.051422395,-0.3594,9.53,-0.38237497,0.7456,11.87,-0.21692747,0.6577,13.516,-1.6917468,3.11,20.03,-0.08014071,3.146,32.5,-12.561922,27.95,54.88,-1.0227796,0.626,6.566,-0.6014087,0.5117,7.91,0.6498432,0.02802,8.766,1.2204981,-1.208,10.18,2.7248628,-0.6904,11.75,2.3445327,-0.931,13.14,1.2909818,1.5205,19.61,4.6474643,1.463,32.66,-18.622671,30.11,65.25,0.050994873046875,0.945103433728218
122,-0.6247541,0.0908,6.57,1.0830921,-1.497,8.18,0.91824824,-1.52,8.61,0.9968587,-2.572,9.79,0.31088826,-1.688,11.75,0.9664539,-2.295,13.414,-0.6758075,-0.5283,19.6,1.1045568,-1.456,32.62,-9.391769,20.02,50.2,-0.82440627,0.5264,6.473,0.49584454,-0.2505,8.02,1.6679454,-0.9014,8.76,2.5506322,-2.258,10.234,4.3157144,-1.837,11.945,4.1623907,-2.215,13.195,4.0881205,-0.5137,19.23,8.842726,-1.703,32.16,-5.8245363,21.42,59.97,0.0014791488647460938,0.9495595902204513
123,-0.6338181,0.003454,6.617,1.3289696,-1.6,8.39,1.2223351,-1.764,8.68,1.6086191,-3.102,9.95,0.9968688,-2.42,12.05,1.5575368,-3.227,13.62,-0.08403677,-1.634,19.72,1.9140437,-3.203,32.75,-9.218374,18.47,50.53,-0.7288923,0.498,6.44,0.8745084,-0.517,7.754,1.7717732,-1.076,8.56,2.5129757,-2.363,10.12,3.8533869,-1.837,11.69,3.8040228,-2.312,13.09,3.141615,-0.4146,19.28,7.794567,-1.544,32.03,-6.4102616,20.16,57.66,0.0004839897155761719,0.9498258233070374
124,-0.9415859,0.644,6.65,-0.2542204,1.037,8.32,-0.4692598,1.291,8.555,-0.4601372,0.575,9.57,-1.4174236,2.258,11.51,-1.3413898,2.309,13.31,-3.5104072,6.055,20.3,-2.977981,8.9,33.8,-23.732586,50.0,68.2,-1.1086695,0.736,6.656,-1.2795706,0.9424,8.06,-0.8410213,0.679,8.52,-0.6145853,-0.2844,9.87,-0.73755574,0.9756,11.23,-1.4635723,0.935,12.85,-4.5970426,4.09,20.0,-4.838253,5.207,32.06,-40.217804,40.53,72.9,1.15234375,0.714201557636261
125,-0.8562678,0.4595,6.625,0.13463987,0.6294,8.4,0.23712756,0.7783,8.85,0.29297742,-0.0941,9.664,-0.53107166,1.038,11.44,-0.20193769,1.099,13.34,-2.01917,3.959,19.9,-0.46787965,4.617,32.84,-15.597183,35.1,57.0,-1.014138,0.7036,6.562,-1.0743353,0.8716,7.85,-0.014497332,0.4663,8.56,0.5502796,-0.6655,9.9,1.2660683,0.1462,11.17,0.61710113,0.1133,12.77,-1.9308333,3.09,19.67,-0.48863044,3.627,31.84,-30.575354,35.12,68.06,0.129150390625,0.8475934669375419
126,-0.3323278,-0.4905,6.6,1.3458917,-1.749,8.6,1.4087434,-2.023,8.79,1.6392174,-3.207,9.88,1.3645761,-2.334,11.98,1.6058755,-2.602,13.516,0.13757735,-0.9033,20.14,2.0365639,-2.451,33.22,-7.430297,17.12,50.3,-0.81984097,0.4211,6.57,1.0680184,-0.5786,8.05,2.433765,-1.374,8.9,3.3186045,-2.646,10.31,5.007943,-2.47,11.97,4.768274,-2.787,13.32,4.534545,-1.201,19.39,10.20147,-3.133,32.03,0.57816917,12.88,54.62,0.0003223419189453125,0.9496954187750816
127,-0.7531965,0.39,6.727,0.5590437,-0.4617,8.266,0.67069364,-0.553,8.49,0.9182526,-1.772,9.695,-0.30880088,-1.256,11.9,0.18376112,-1.771,13.75,-1.2493608,-0.0776,19.55,0.43491915,-0.839,33.2,-12.557105,23.9,53.7,-0.8717546,0.607,6.56,-0.17188694,0.3337,7.934,1.1752388,-0.2842,8.75,1.8597927,-1.549,9.99,3.226801,-1.121,11.39,2.8213742,-1.303,12.96,1.5419259,1.008,19.08,5.0405936,0.3442,31.97,-15.182842,25.72,60.97,0.00876617431640625,0.9456696033477783
128,-1.0860268,0.8276,6.742,-0.47842425,1.306,8.17,-0.7865781,1.498,8.33,-1.1643362,1.044,9.305,-2.0977244,2.57,11.305,-1.9687027,2.865,13.12,-4.0140076,6.297,20.03,-3.908744,9.24,33.75,-25.056553,50.0,67.7,-1.2005937,0.8364,6.68,-1.2501597,0.962,7.92,-1.2502817,0.814,8.45,-1.3650178,0.1372,9.72,-2.7629101,2.01,11.11,-3.5652184,2.232,12.85,-7.522631,5.52,20.56,-9.358103,7.12,32.44,-47.806023,43.66,76.25,0.96044921875,0.5010602951049805
129,-0.65115386,0.2383,6.66,0.37878585,-0.2622,8.24,0.4018092,-0.4177,8.41,0.7067478,-1.538,9.63,-0.25551677,-1.193,11.836,0.20618826,-1.845,13.72,-1.2555472,-0.3433,19.73,0.4736225,-1.323,33.25,-10.856363,22.17,51.97,-0.89230853,0.615,6.56,-0.5444157,0.549,7.887,0.49828336,0.01252,8.55,1.2133838,-1.198,9.94,2.3445172,-0.6123,11.445,1.9938445,-0.81,12.93,0.20158225,1.74,19.47,2.4568288,1.899,32.22,-22.27817,31.1,65.4,0.00394439697265625,0.9102629795670509
130,-0.9454943,0.5215,6.695,-0.38647825,0.722,8.414,-0.21166073,0.778,8.94,-0.13535888,-0.07196,9.91,-0.87994206,1.395,11.61,-0.7895696,1.402,13.27,-2.9306405,4.57,20.77,-2.0891085,6.246,34.47,-22.0033,43.84,64.06,-0.98910725,0.6562,6.54,-1.1294858,0.7803,8.055,-0.42872196,0.258,8.53,0.053281922,-0.8027,9.97,0.5910543,0.07294,11.22,0.07629174,-0.08325,12.85,-2.5421085,2.766,19.64,-1.7569818,3.186,32.16,-34.62553,35.53,69.75,0.306640625,0.837100039422512
131,-0.7357856,0.334,6.617,-0.20875007,0.9614,8.2,-0.49893773,1.465,8.66,-0.691236,0.803,9.36,-1.6355386,1.922,11.24,-1.582161,2.066,13.164,-3.586707,5.156,19.73,-2.6913872,7.508,32.88,-21.52794,44.1,64.1,-1.0477396,0.6436,6.562,-0.73926884,0.81,7.85,-0.30526927,0.4175,8.4,-0.00988666,-0.5605,9.77,0.81199574,0.2996,11.34,0.073198855,0.2522,12.77,-2.575525,3.28,19.48,-1.7021496,4.168,31.94,-36.778427,39.62,72.5,0.6826171875,0.834749811887741
132,-0.31864297,-0.516,6.668,1.3909482,-1.764,8.56,1.1929278,-1.92,8.68,1.419789,-3.137,9.89,0.82951784,-2.268,11.97,1.360385,-2.88,13.71,-0.3033092,-1.048,20.06,1.6195056,-2.266,32.94,-9.195118,19.55,49.9,-0.76169544,0.3518,6.54,0.98438853,-0.449,7.895,2.2747529,-1.25,8.7,3.045721,-2.572,10.24,4.7889876,-2.303,11.9,4.54181,-2.607,13.25,4.272887,-1.014,19.53,9.632554,-2.707,32.34,-1.7527603,15.57,56.53,0.0005087852478027344,0.9500000700354575
133,-0.54183054,-0.09424,6.7,0.82238054,-1.574,8.17,0.9660657,-1.835,8.48,1.3448018,-3.102,9.81,0.34478962,-2.32,11.52,0.7823654,-2.99,13.39,-0.74690694,-1.704,19.56,1.0691342,-3.232,32.56,-9.907877,19.06,49.97,-0.83192325,0.5825,6.523,-0.21259378,0.11066,7.85,1.1072855,-0.6147,8.55,2.0815804,-1.969,10.26,3.383892,-1.46,11.62,3.219817,-1.82,13.1,2.1731977,0.3477,19.4,5.9236336,-0.4915,32.25,-11.828958,22.77,59.97,0.0002830028533935547,0.947523209452629
134,-0.7459016,0.2595,6.56,0.90910536,-0.724,8.39,0.9048789,-0.752,8.695,1.0596688,-1.712,9.68,0.23644689,-0.678,11.38,0.6831836,-0.9404,13.23,-0.8890165,0.8813,20.0,0.6948748,0.462,33.44,-12.902811,26.17,51.4,-0.989071,0.606,6.516,0.09380023,0.1415,7.855,1.7082224,-0.6265,8.7,2.447908,-1.911,10.125,3.6647859,-1.497,11.63,3.3380806,-1.705,12.94,2.2840815,0.566,19.1,6.4807386,-0.3018,31.67,-9.601545,22.34,60.03,0.0164031982421875,0.9457116797566413
135,-0.62339026,-0.1426,6.656,1.30006,-1.59,8.53,1.2516017,-1.806,8.75,1.5707383,-3.068,9.945,0.7800348,-1.989,11.72,1.341018,-2.361,13.52,-0.076085865,-0.816,20.16,1.9601076,-2.469,33.62,-9.06273,18.78,50.72,-0.79200226,0.4502,6.555,0.45287362,-0.2291,7.887,1.7749428,-0.955,8.66,2.551565,-2.328,10.17,3.7285404,-1.688,11.56,3.656489,-2.03,13.086,2.9968405,-0.1542,19.39,7.305434,-1.272,32.25,-9.552975,22.56,59.6,0.0007810592651367188,0.9488989263772963
136,-0.84179735,0.4758,6.492,0.05695607,0.6147,8.8,-0.13628268,0.894,8.94,-0.17142874,0.05396,9.766,-0.6682368,1.01,11.51,-0.35966152,0.6416,13.27,-2.4458976,3.611,20.56,-0.97284466,4.273,33.94,-16.710398,34.12,56.84,-0.9398692,0.6157,6.434,-1.0475348,0.975,7.97,-0.81904614,0.7295,8.76,-0.6233804,-0.2357,9.92,-0.28539604,0.842,11.125,-1.0697467,0.89,12.945,-4.130869,4.098,20.16,-4.0776024,5.098,32.2,-41.79411,42.34,75.5,0.144287109375,0.7495444655418395
137,-0.81310165,0.4885,6.5,0.24780071,0.4194,8.36,0.052144036,0.669,8.62,0.1300543,-0.2361,9.61,-0.3889575,0.363,12.086,0.06403297,0.1332,13.62,-1.4488162,2.182,20.11,0.33988482,1.824,33.38,-14.248674,28.61,54.38,-1.1050448,0.699,6.54,-0.84286153,0.6963,8.04,0.23148134,0.06125,8.516,0.78745055,-1.049,9.64,1.759063,-0.431,11.06,1.3369522,-0.619,12.586,-0.8058067,2.254,19.27,0.9263367,2.47,31.83,-28.012497,34.94,68.5,0.038299560546875,0.8911222264170646
138,-0.48454225,-0.074,6.598,1.0272753,-0.9194,8.305,1.060457,-0.9907,8.64,1.2713656,-2.059,9.6,0.20729055,-0.665,11.56,0.73937285,-0.74,13.51,-0.8469646,1.327,20.45,1.0233536,0.774,33.97,-12.003417,26.19,52.3,-0.8122684,0.4739,6.52,0.2781665,0.2295,7.727,1.5305187,-0.517,8.52,2.2488682,-1.827,10.0,3.4441624,-1.304,11.52,3.1050878,-1.471,12.99,1.98276,0.8145,19.44,5.6494446,0.11053,31.72,-12.459633,25.27,61.72,0.004894256591796875,0.9469501510262489
139,-0.779749,0.4507,6.668,-0.22057895,0.7466,8.336,-0.6560728,1.222,8.61,-0.8229151,0.5405,9.56,-1.6702383,2.336,11.66,-1.6945424,2.713,13.48,-3.5942886,6.176,20.31,-3.0432472,8.79,33.38,-22.560932,47.66,66.56,-0.9563064,0.6533,6.6,-0.9503814,0.825,8.04,-0.90448284,0.6733,8.56,-0.86069226,-0.1315,9.89,-1.0969638,1.084,11.336,-1.8144693,1.122,12.83,-5.134222,4.258,19.97,-5.8260117,5.473,31.97,-42.178577,40.28,73.2,0.91845703125,0.6639556646347046
140,-0.83325374,0.3726,6.723,-0.06959622,0.66,8.336,-0.031981148,0.7124,8.86,-0.17015445,-0.10626,9.77,-0.76747775,0.6357,11.55,-0.6093006,0.4956,13.336,-2.5957181,3.543,20.16,-1.4592631,4.926,33.2,-18.398361,37.75,60.0,-0.941807,0.6484,6.56,-0.9087699,0.6724,8.016,0.06279895,0.07935,8.586,0.46010947,-1.01,9.97,1.2688096,-0.2372,11.39,0.77742124,-0.3794,12.85,-1.2776409,2.285,19.48,0.48844755,2.617,32.03,-29.022789,34.0,67.75,0.16455078125,0.8964057579636573
141,-0.7526627,0.2883,6.69,0.47059318,-0.1376,8.43,0.37305623,-0.1139,8.63,0.5438685,-1.129,9.63,-0.42449564,0.4053,11.49,-0.108961046,0.3157,13.305,-1.9015999,3.104,20.17,-0.48040307,3.57,33.0,-14.147131,31.33,54.4,-0.9504863,0.6377,6.656,-0.40068674,0.5347,7.99,0.5929509,0.02603,8.59,1.2279245,-1.203,9.97,2.3167238,-0.5513,11.36,1.8103651,-0.7163,12.77,-0.0742656,1.973,19.31,2.305928,1.886,31.81,-23.803114,30.88,65.5,0.1943359375,0.9246920764446258
142,-0.7079036,0.2246,6.55,0.7197057,-0.3237,8.305,0.92687845,-0.3318,8.74,1.1076803,-1.382,9.67,0.15574932,-0.537,11.72,0.5816493,-0.7383,13.56,-0.9928278,1.307,20.45,0.68699753,0.964,33.4,-12.667292,27.77,55.66,-0.95148015,0.6636,6.566,-0.43503594,0.619,7.77,1.5476701,-0.1621,8.98,2.3170135,-1.604,10.18,3.4875114,-1.149,11.5,3.0624843,-1.389,13.01,2.056423,0.8696,19.4,5.7948112,0.1743,32.28,-13.646856,24.84,61.9,0.06256103515625,0.9463728040456771
143,-0.63371557,0.10376,6.684,0.3373171,-0.2615,8.266,0.09406297,-0.1028,8.55,0.34204465,-1.17,9.72,-0.7121756,-0.1617,11.945,-0.28297806,-0.6045,13.305,-2.0988548,1.665,19.72,-0.5384191,1.758,32.53,-15.405561,30.98,55.03,-0.9040922,0.643,6.547,-0.47345173,0.4258,7.957,0.59413266,-0.3037,8.625,1.2403111,-1.557,10.0,2.3169098,-0.928,11.61,2.0453427,-1.288,13.016,0.5530199,1.023,19.39,3.5607,0.5327,32.06,-18.434738,26.78,62.94,0.11553955078125,0.9401307299733161
144,-1.0084965,0.736,6.6,-0.55919594,1.142,8.14,-0.7152464,1.301,8.4,-0.81384826,0.7593,9.39,-1.4818149,1.383,11.27,-1.2833182,1.359,12.945,-3.2133892,4.22,19.62,-2.3900757,5.96,33.16,-21.290417,41.22,62.34,-1.0289333,0.7246,6.586,-1.0095288,1.033,7.914,-0.41681892,0.7314,8.555,-0.05264749,-0.273,9.72,0.59237546,0.4937,11.26,-0.13817805,0.4521,12.805,-3.0323224,3.54,19.64,-2.4558396,4.336,31.6,-35.238823,38.22,71.56,0.422607421875,0.8056177765130996
145,-0.57227993,-0.0666,6.594,1.1526916,-1.045,8.13,1.1556572,-1.18,8.54,1.4088509,-2.32,9.77,0.707623,-1.322,11.74,1.1114551,-1.703,13.62,-0.2662779,-0.03958,20.23,1.818649,-1.509,33.2,-7.694489,18.52,49.97,-0.8610106,0.5093,6.516,0.5120388,-0.1034,7.86,2.101143,-0.8213,8.82,2.8992836,-2.13,10.266,4.6404343,-2.006,11.95,4.186095,-2.25,13.21,3.520172,-0.4011,19.19,8.470818,-1.793,32.12,-6.096247,19.36,57.4,0.001392364501953125,0.949736699461937
146,-0.75814885,0.2275,6.703,0.7798009,-0.4485,8.414,0.7411152,-0.571,8.59,0.8987901,-1.787,9.85,-0.023609936,-1.031,11.734,0.6510201,-1.581,13.42,-0.88022804,0.3298,19.73,1.0140647,-0.334,32.78,-11.2649,23.72,51.66,-0.9624704,0.597,6.57,0.0999675,0.1061,8.01,1.5064318,-0.6787,8.71,2.1956015,-2.092,10.17,3.5157454,-1.493,11.62,3.2919421,-1.842,13.016,2.495235,0.06445,19.33,6.38148,-0.732,32.44,-10.431052,22.8,60.22,0.00794219970703125,0.9494259968400001
147,-0.8122905,0.335,6.61,-0.011638444,0.515,8.47,0.14895053,0.602,8.9,0.3331141,-0.4194,9.99,-0.48870653,0.7983,11.97,-0.122021645,0.5654,13.69,-1.9784663,3.402,20.77,-0.49523413,3.678,33.62,-15.528185,32.66,57.56,-1.0043449,0.7188,6.59,-0.83118296,0.4685,7.965,0.0639594,-0.09784,8.42,0.7006141,-1.319,9.875,0.92492837,-0.3145,11.07,0.73758775,-0.5986,12.65,-1.5804276,2.098,19.58,-0.41748488,2.172,32.28,-29.2323,32.34,66.2,0.092529296875,0.8508938983082771
148,-0.8413994,0.5586,6.594,0.69957924,0.0934,8.5,0.9285697,-0.3057,8.64,1.0621257,-1.465,9.766,1.2265928,-2.04,11.945,1.6170865,-2.447,13.37,0.54024935,-1.186,19.58,3.0249429,-2.252,33.34,-9.250009,22.64,54.75,-1.0910524,0.7476,6.59,-0.81042993,0.584,8.04,0.6623267,-0.2256,8.63,1.331722,-1.459,10.016,2.5641775,-0.8735,11.45,2.2080789,-1.119,12.914,0.9458496,1.4,19.28,4.256076,1.331,31.92,-16.48591,28.19,63.62,0.0011138916015625,0.9416270777583121
149,-0.8220253,0.4265,6.562,-0.17451003,0.8003,8.305,-0.285993,1.135,8.75,-0.2740438,0.3281,9.41,-1.4731052,1.968,11.33,-1.5600752,2.076,13.09,-3.6752658,5.492,20.0,-2.6032414,8.055,33.22,-20.584694,45.03,65.1,-0.9917722,0.6367,6.527,-0.93349534,0.847,8.05,-0.94530064,0.6523,8.625,-0.90579796,-0.1658,9.82,-1.2607054,1.088,11.26,-1.9625305,1.118,12.945,-5.3268733,4.14,19.92,-5.8799205,5.062,31.9,-42.788177,39.44,73.2,1.0224609375,0.6396960914134979
150,-0.4705017,-0.1968,6.574,1.2632649,-1.655,8.516,1.1404922,-1.86,8.77,1.3940476,-3.092,9.81,0.92210937,-2.34,11.945,1.40453,-2.727,13.64,-0.13965273,-0.9927,20.17,1.6876181,-2.375,33.6,-9.505883,19.9,51.22,-0.64514977,0.4277,6.574,0.3760131,-0.2339,7.93,1.7143383,-1.09,8.74,2.3207026,-2.354,10.125,3.551147,-1.665,11.734,3.3752446,-1.94,13.15,2.4370775,0.117,19.69,6.60734,-0.7134,32.53,-8.697735,21.8,56.22,0.0002841949462890625,0.9494518607854843
151,-0.72924495,0.2805,6.56,0.75894177,-0.652,8.37,0.72452915,-0.731,8.625,1.0809162,-1.96,9.72,0.44322625,-1.2295,11.484,0.96517766,-1.576,13.44,-0.6532944,0.2646,19.92,0.9379056,-0.2734,32.94,-11.954084,24.31,51.47,-1.1272527,0.6963,6.617,-0.38427246,0.4822,8.04,1.6004872,-0.5063,8.78,2.2856932,-1.863,9.984,3.4621286,-1.533,11.45,3.2593696,-1.892,12.88,2.3142776,0.0394,18.84,6.3176928,-1.227,31.4,-7.5826616,19.14,57.22,0.004241943359375,0.9427732169628142
